strain	taxonomyId	accession	isRef	level	chromosomeCount	length	scaffoldCount	scaffoldN50	scaffoldL50	coverage	gcPercent	annotationStatus	pairedAccession	species	speciesTaxonomyId	lineageTaxonomyIds	taxonomicGroup	tolId	taxonomicLevelDomain	taxonomicLevelRealm	taxonomicLevelKingdom	taxonomicLevelPhylum	taxonomicLevelClass	taxonomicLevelOrder	taxonomicLevelFamily	taxonomicLevelGenus	taxonomicLevelSpecies	taxonomicLevelDomainId	taxonomicLevelRealmId	taxonomicLevelKingdomId	taxonomicLevelPhylumId	taxonomicLevelClassId	taxonomicLevelOrderId	taxonomicLevelFamilyId	taxonomicLevelGenusId	taxonomicLevelSpeciesId	commonName	ucscBrowser	geneModelUrl
DD151	8296	GCA_002915635.3	False	Chromosome	28.0	28206905576	27157	1205706733	11	30	46.0			Ambystoma mexicanum	8296	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,8292,41666,8293,30367,8294,8295,8296	Amphibia	a	Eukaryota		Metazoa	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma mexicanum	2759		33208	7711	8292	8293	8294	8295	8296			https://hgdownload.soe.ucsc.edu/hubs/GCA/002/915/635/GCA_002915635.3/genes/GCA_002915635.3_AmbMex60DD.augustus.gtf.gz
	38626	GCA_003287225.2	False	Scaffold		3192623321	1245	428240489	3	57.3	39.0			Phascolarctos cinereus	38626	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9263,38609,38624,38625,38626	Mammalia	m	Eukaryota		Metazoa	Chordata	Mammalia	Diprotodontia	Phascolarctidae	Phascolarctos	Phascolarctos cinereus	2759		33208	7711	40674	38609	38624	38625	38626			https://hgdownload.soe.ucsc.edu/hubs/GCA/003/287/225/GCA_003287225.2/genes/GCA_003287225.2_phaCin_HiC.augustus.gtf.gz
	30522	GCA_003369685.2	False	Chromosome	30.0	2580764822	1435	102763607	11	136	42.0			Bos indicus x Bos taurus	30522	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314145,91561,9845,35500,9895,27592,9903,30522	Mammalia	m	Eukaryota		Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos indicus x Bos taurus	2759		33208	7711	40674	91561	9895	9903	30522	hybrid cow		https://hgdownload.soe.ucsc.edu/hubs/GCA/003/369/685/GCA_003369685.2/genes/GCA_003369685.2_UOA_Angus_1.augustus.gtf.gz
	59729	GCA_003957565.4	False	Chromosome	41.0	1056254409	198	70982421	6		42.0		GCF_003957565.2	Taeniopygia guttata	59729	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,3073808,3073809,9126,175121,37611,40155,59728,59729	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Passeriformes	Estrildidae	Taeniopygia	Taeniopygia guttata	2759		33208	7711	8782	9126	37611	59728	59729			https://hgdownload.soe.ucsc.edu/hubs/GCA/003/957/565/GCA_003957565.4/genes/GCA_003957565.4_bTaeGut1.4.pri.augustus.gtf.gz
	40151	GCA_005190385.3	True	Scaffold		2341938226	100	108465051	9	40	41.5			Monodon monoceros	40151	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314145,91561,2653789,9721,9722,9747,40150,40151	Mammalia	m	Eukaryota		Metazoa	Chordata	Mammalia	Artiodactyla	Monodontidae	Monodon	Monodon monoceros	2759		33208	7711	40674	91561	9747	40150	40151			https://hgdownload.soe.ucsc.edu/hubs/GCA/005/190/385/GCA_005190385.3/genes/GCA_005190385.3_NGI_Narwhal_2.augustus.gtf.gz
	28689	GCA_008658365.1	True	Chromosome	26.0	1178473458	94	84526827	4	64.69	42.5			Alca torda	28689	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,8906,28683,28688,28689	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Charadriiformes	Alcidae	Alca	Alca torda	2759		33208	7711	8782	8906	28683	28688	28689	Tordalk		https://hgdownload.soe.ucsc.edu/hubs/GCA/008/658/365/GCA_008658365.1/genes/GCA_008658365.1_bAlcTor1_primary.augustus.gtf.gz
	59729	GCA_008822115.3	False	Chromosome	31.0	995935930	205	71673800	5	82.5	42.0			Taeniopygia guttata	59729	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,3073808,3073809,9126,175121,37611,40155,59728,59729	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Passeriformes	Estrildidae	Taeniopygia	Taeniopygia guttata	2759		33208	7711	8782	9126	37611	59728	59729			https://hgdownload.soe.ucsc.edu/hubs/GCA/008/822/115/GCA_008822115.3/genes/GCA_008822115.3_bTaeGut2.mat.v3.augustus.gtf.gz
	135433	GCA_009764595.1	True	Chromosome	34.0	1078128490	278	72541719	6	52.11	42.0			Geothlypis trichas	135433	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,3073808,3073809,9126,175121,400782,135432,135433	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Passeriformes	Parulidae	Geothlypis	Geothlypis trichas	2759		33208	7711	8782	9126	400782	135432	135433			https://hgdownload.soe.ucsc.edu/hubs/GCA/009/764/595/GCA_009764595.1/genes/GCA_009764595.1_bGeoTri1.pri.augustus.gtf.gz
	121530	GCA_009769465.1	False	Chromosome	33.0	1252271553	140	85562082	6	65.99	42.5			Tauraco erythrolophus	121530	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,3073806,56301,56302,56303,121530	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Musophagiformes	Musophagidae	Tauraco	Tauraco erythrolophus	2759		33208	7711	8782	56301	56302	56303	121530			https://hgdownload.soe.ucsc.edu/hubs/GCA/009/769/465/GCA_009769465.1/genes/GCA_009769465.1_bTauEry1.pri.augustus.gtf.gz
	240206	GCA_009769525.1	False	Chromosome	36.0	1127398289	88	43262132	8	70.94	42.5			Pterocles gutturalis	240206	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,1329799,8492,436486,436489,436491,436492,8782,8825,3078114,3073799,3073800,56295,56296,240206	Aves	b	Eukaryota		Metazoa	Chordata	Aves	Pterocliformes	Pteroclidae	Pterocles	Pterocles gutturalis	2759		33208	7711	8782	3073800	56295	56296	240206			https://hgdownload.soe.ucsc.edu/hubs/GCA/009/769/525/GCA_009769525.1/genes/GCA_009769525.1_bPteGut1.pri.augustus.gtf.gz
